128,528,2.2978250586152114e+01,2.5462265900440370e-04,5.0446089066093505e+00,5.0445272567922466e+00,2.4472637838245503e-01
949,4155,6.4459289477933282e+01,9.6202479068860707e-06,3.4043162989530951e-01,3.0058477108438242e-01,9.5542526948586893e-04
1011,4395,6.6294796175868882e+01,5.3881148221059481e-07,5.7921145394646684e-02,5.0926842670002630e-02,3.1818696753081147e-05
842,3582,5.9849812029780011e+01,2.3951531189982428e-07,3.8413415602248611e-02,3.4661006036509276e-02,1.3202700575542277e-05
835,3537,5.9472682804797024e+01,1.7152599265393545e-07,2.8153737608734686e-02,2.8053417559004486e-02,7.5440125483730048e-06
830,3516,5.9295868321494375e+01,1.4924473894523058e-07,2.8969981417973998e-02,2.7761505801899612e-02,8.0088954872614663e-06
834,3531,5.9422218066982317e+01,1.4470746801812728e-07,2.8753253534132092e-02,2.6099620798537091e-02,7.8133716481591821e-06
841,3558,5.9648973168026956e+01,1.6541680762807725e-07,2.8131887707392004e-02,2.6117641043279807e-02,7.3288566112312371e-06
838,3546,5.9548299723837623e+01,1.2454990033756610e-07,2.7908270604590120e-02,2.6744462477282717e-02,7.8366344991628924e-06
838,3543,5.9523104757732519e+01,1.9294149366892150e-07,2.7475592700663996e-02,2.6858637278806229e-02,7.4042036637946741e-06
